tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,target
9.205911169,8.7506527963,1.2271636661,9.2846800297,4.4628711526,-1.748760404,-0.7380035673,-1.9761071813,0.1046262911,0.5842131637,0.2137162155,0.738963692,0.0282322591
4.6192695142,2.9441539336,9.9710229027,1.681788842,3.7439682057,-1.1343077212,-1.1813126946,-1.42834779,0.3672152907,0.0969923661,0.9171057714,0.5236302906,-0.0003615567
9.0312815834,5.5010543662,4.7967207688,1.108354749,5.0433806572,-1.8418856272,-1.4824446275,-1.7190504026,0.8803371034,0.3374399857,0.5869559372,0.8228641028,0.0117036646
2.3792987072,1.5419260919,7.1721459073,1.8281339007,3.699931758,-0.8637730266,-1.5764092196,-1.2597495117,0.8793880128,0.9716545004,0.7155987496,0.9611358805,-0.0175949107
2.8556768056,9.9726607859,4.7772482785,7.9024397399,3.9968677408,-1.1754751072,-1.2761138827,-1.5452787509,0.8416820287,0.6302217737,0.2208568576,0.8257600259,0.04003406
9.2806782117,8.8615630834,4.5999634316,8.2281054444,4.727828591,-1.2708102385,-1.46110466,-1.9959136925,0.902333803,0.2278555142,0.9519895088,0.8237387813,0.0781893355
9.6527912737,8.3897548535,5.1229971658,0.8895024986,3.2821490421,-0.5865417438,-1.4241163365,-1.2714909618,0.8666313014,0.6605947805,0.9456023082,0.9886475554,0.0348603889
1.5570284605,8.9757250086,9.8980679151,7.303489262,4.1037734927,-0.6713352057,-1.847324804,-1.585113483,0.8903600855,0.0616308958,0.6848724336,0.4888669074,-0.0026335453
9.8003181626,3.3720192414,5.0565822373,6.0895458624,4.0875529404,-0.7497880688,-1.5024443432,-1.8353205285,0.2807667789,0.3512421193,0.4509510855,0.8098772688,0.0307947425
1.0476872637,7.9576802607,9.2869388758,6.7066072181,4.2753503466,-1.0827899054,-1.8391804216,-1.3533800196,0.4173315012,0.8111162882,0.8341016956,0.7586166376,0.0623285734
8.3804891992,4.6302767304,2.3343647951,4.9341370594,2.4269910604,-0.6653808592,-0.9521392972,-0.8094709039,0.5606796963,0.1532187813,0.3687677079,0.2260596336,-0.0191240121
7.3443678939,8.5255906391,6.8035209815,2.9155109375,3.0282116454,-1.0183407457,-0.7545965357,-1.2552743641,0.763529285,0.9100022076,0.9758138382,0.1469707343,0.0841625669
3.3333801581,6.1165131101,9.381112683,9.2395452977,3.1347411183,-1.3727583711,-0.8957396004,-0.8662431468,0.2250101434,0.0785711289,0.4861366186,0.2609636021,-0.0067033803
9.9930459199,3.081053375,3.4622109405,4.3925273691,3.9462152637,-1.4030254523,-1.4502862414,-1.09290357,0.514883703,0.4207685017,0.896527478,0.0538994862,-0.0197391507
5.4775169388,2.0190779648,8.5356518952,4.6047434416,2.6997953181,-0.6961324967,-0.6464682785,-1.3571945429,0.2412456985,0.88947486,0.1909907815,0.8667294132,0.0062087489
0.6301155365,1.4913667007,3.4567958275,5.0062082965,4.5588079315,-1.9733170651,-1.9881626046,-0.5973282618,0.3043607747,0.2964151509,0.2220073887,0.1779224771,-0.05277114
7.1581357348,6.8699811274,2.7893996392,5.5992879973,3.2654499072,-1.9849283046,-0.7033132062,-0.5772083964,0.8639898324,0.4558733776,0.8939173971,0.6266534511,0.0681265857
0.8670878331,2.8005340286,9.0727524276,5.5363884581,4.2286887104,-1.2351360688,-1.0378119483,-1.9557406933,0.75223112,0.6231796625,0.6084079192,0.3639847232,-0.0200850574
9.5792918545,3.6208384798,6.8019592687,7.4962815092,3.6695204916,-1.1979594759,-1.4652332197,-1.0063277961,0.7249274359,0.7161531982,0.945275045,0.6530228733,0.0800542657
9.4559780143,4.6259053698,7.2369087183,1.6432266175,4.5285438762,-1.8681031603,-1.9542931328,-0.7061475832,0.6319374193,0.671989467,0.8588687238,0.6000906762,0.0446428528
6.8490100165,3.4819266665,2.6114858166,1.8399583304,4.4830753884,-1.8965783181,-1.8832036361,-0.7032934341,0.2262474607,0.7078025162,0.562513653,0.8059629372,-0.0056840621
1.228150386,2.0959739478,3.7772834561,8.2287020239,3.9779447979,-1.4050424567,-1.44871669,-1.1241856512,0.9343111971,0.2811208715,0.3805773279,0.1586259442,-0.0106058717
4.9139548759,8.0775154853,5.1610889374,6.1740810898,3.6419940015,-1.0619809147,-1.7302133123,-0.8497997745,0.3532556064,0.313329808,0.5346170307,0.364861545,0.0225644574
4.9135615612,6.2571767767,1.217696154,2.2747872849,3.1198793663,-1.3399158188,-1.01314842,-0.7668151275,0.3725869131,0.6990705336,0.2224386546,0.732105764,0.0001460453
4.4995695342,4.8259750883,0.5632908272,0.7664067067,4.5320316509,-1.6384152164,-1.8758409599,-1.0177754746,0.4423228467,0.1290920637,0.3509937375,0.633641913,-0.0344467634
2.5706331479,5.4400818426,4.4766307259,9.5258717533,4.7276906755,-1.7522413563,-1.1289169166,-1.8465324026,0.7126956999,0.7225922225,0.1403025003,0.735466691,0.0251059803
6.7865774407,2.3659973066,7.7853777604,5.460567453,2.8549698416,-1.0680226473,-1.0680139734,-0.7189332209,0.3398279027,0.2185561787,0.9504193354,0.6863987821,0.0540469918
1.8356448894,3.8649082346,6.6032767777,2.6737647,3.9088366363,-1.2865219893,-0.8739163014,-1.7483983455,0.9898185094,0.1921192939,0.5467169101,0.2708804855,-0.0307102278
1.9578534042,4.1071105862,8.1676156879,5.007636364,3.0851768734,-1.1165764469,-1.029596022,-0.9390044044,0.6295393117,0.9845192468,0.8974304538,0.1208408004,0.0340220855
9.4168058814,0.5053715099,3.1128042624,6.0762007952,3.3329140476,-1.3615786283,-1.1898341778,-0.7815012415,0.5301583901,0.9686731119,0.4561184406,0.4152271414,-0.0387264714
1.5306760102,1.7013970719,1.2813090171,9.896954267,2.9315360235,-0.5498115561,-1.5952376108,-0.7864868566,0.7425278628,0.1230093407,0.7700451823,0.8495188734,-0.0451637101
2.9572390014,7.9893745929,3.8034504848,3.5383771918,4.5613259391,-1.5586252222,-1.6204634749,-1.3822372421,0.7012050855,0.6468160152,0.2802550925,0.8502902715,0.0310265038
3.3786293588,4.3292762665,3.9786469627,4.496474863,3.590901776,-1.5957016837,-0.6370567148,-1.3581433775,0.4969617514,0.1366938138,0.197503729,0.9587645541,0.0187204085
7.9836965976,5.0139246491,8.8320010781,1.0964136187,4.0433798565,-1.2394409735,-1.7798787261,-1.024060157,0.7985666426,0.4688717489,0.6476090081,0.953867816,0.0249806946
5.2764020225,5.9301437527,3.8247474787,2.9357700303,4.1244002199,-1.2609959717,-1.4037729238,-1.4596313244,0.6938140836,0.6251058503,0.4127713349,0.6467840675,0.0541237845
4.893077006,2.6410690453,5.8667021327,6.6663533448,3.1574933034,-1.0654097272,-1.528319452,-0.5637641242,0.4427079982,0.4632362917,0.0744111162,0.0825826097,-0.038905496
6.8436395674,6.2580806232,9.2446895269,7.9463470181,4.2440762947,-1.0360046776,-1.9990340751,-1.209037542,0.3942092226,0.6973209608,0.8764444698,0.3455465937,0.0677263752
6.8090784458,3.9956648224,7.9277793633,2.5863149764,2.8654125988,-0.8317563748,-0.9755705416,-1.0580856825,0.4693961886,0.5004618541,0.7028452549,0.8586612728,0.0394692864
8.1478776362,6.1597753193,7.1794845372,2.3320928274,3.2002727383,-0.5293858015,-1.1497866647,-1.5211002721,0.2304383096,0.4134632299,0.5189022922,0.643877373,0.010889028
6.5640373609,7.9145054504,8.4410838022,4.6284867161,4.1810666872,-0.6710497091,-1.9279562931,-1.582060685,0.6601016338,0.3819580115,0.7959725386,0.9320778947,0.0789804348
6.0616013784,9.7642695721,1.6703019441,2.4263259279,4.7812180157,-1.2950728517,-1.8466785583,-1.6394666057,0.5019656484,0.6910368279,0.3454292254,0.8720481539,-0.0029644564
2.3831038731,7.6352199624,3.9418849212,3.4583395615,4.1692432289,-0.6609726762,-1.9147400186,-1.5935305341,0.5151849878,0.3426655532,0.3996099409,0.5068883486,-0.0162140544
1.9998446023,1.8750412012,0.8446460442,9.9974482656,4.7437231091,-1.8111293973,-1.24322449,-1.6893692218,0.9347558763,0.502539527,0.6308825635,0.6516290284,-0.0344140021
4.0456439644,2.3926635498,1.2051914045,5.7783213612,3.7773220741,-1.1159521366,-1.6844193568,-0.9769505807,0.3310461247,0.2929307247,0.3362963429,0.9390501055,0.0017466726
8.9404285443,7.3526552491,8.2244993042,8.3482617431,2.4013564948,-0.7619183156,-0.5298450605,-1.1095931188,0.674893038,0.2988227546,0.710819904,0.8772791262,0.0800366317
3.8885468592,5.5510382934,5.8516186408,3.5913251062,2.5965024842,-1.3307640073,-0.6612187902,-0.6045196867,0.4573011908,0.7775355458,0.3892411258,0.0979943867,0.0262662031
3.8539426185,4.4337512048,2.1168304326,2.9765870234,3.541804975,-0.9659874545,-0.9530015014,-1.6228160192,0.8816350014,0.303905066,0.1277451454,0.2855932502,-0.0098844079
7.9614844723,3.8810303802,7.359659874,7.0168251923,3.6753413348,-0.5015805285,-1.8764315474,-1.2973292589,0.3113598703,0.3663173214,0.9485523058,0.8871823877,0.0740402384
8.7588411843,6.6029915197,5.5915664879,5.4281851956,3.8720602859,-1.0676679891,-0.8708453656,-1.9335469312,0.7828970357,0.8398789464,0.0500536924,0.13577932,0.0453708894
1.0318358006,8.849806775,1.7638274135,3.2692968116,4.6216722782,-1.021096913,-1.92719788,-1.6733774853,0.2572579695,0.5315837279,0.6436083149,0.6787494198,-0.0291585858
2.9668180065,8.9986932943,4.6453254859,3.6649182034,3.7621023008,-0.8394866801,-1.5252345448,-1.397381076,0.3169388515,0.7533917488,0.683333518,0.6658165454,0.0364556647
4.0065706572,1.2029839721,9.731351253,4.0595112865,3.932191847,-1.086176729,-1.6713426367,-1.1746724813,0.7305222759,0.2086846275,0.3575416593,0.7326496337,-0.0023023419
8.9459074629,3.8490704605,4.8443995392,6.1831162099,4.7577357832,-1.4442184704,-1.4831939445,-1.8303233682,0.4993274358,0.6905472622,0.9945683528,0.3941524388,0.0621298706
8.5877752126,6.4473237195,1.0140682593,7.6251347924,4.2646734417,-1.4032282223,-1.6601916457,-1.2012535736,0.0878467669,0.4844538542,0.134388478,0.3642037307,-0.0164045336
5.6526863321,5.8647786591,5.2745892499,7.2338036429,5.0276975039,-1.8772960974,-1.2449980368,-1.9054033697,0.6934769433,0.7557812743,0.4879175273,0.5906660812,0.0786483328
0.7438807561,7.4349523215,4.1309916812,7.1102821459,4.2307371393,-1.3038589418,-1.2328819276,-1.6939962699,0.9470788248,0.4600251818,0.6105336965,0.320976041,-0.0240213955
3.1400318448,3.762037718,7.594707411,9.6285388377,3.4313804799,-0.5521553089,-0.9047238009,-1.9745013701,0.4925024891,0.240887866,0.9640049057,0.1878251587,0.0248351675
5.6906484463,5.8063756063,6.2651899009,1.1518431965,5.5562155931,-1.8665279069,-1.7928191442,-1.896868542,0.2712085979,0.7210820183,0.7132731759,0.9758242118,0.027298742
3.3777055716,2.7472103998,6.474133972,5.1814565603,4.6844539335,-1.450331759,-1.8704353086,-1.3636868659,0.0695014872,0.7384139046,0.357468778,0.6953669892,0.0137499396
0.8605513671,2.2573823885,3.2236027419,1.2415677552,3.6310134302,-0.8749037054,-1.881916453,-0.8741932718,0.1250272637,0.2847730369,0.5842704108,0.6634465571,-0.0469438594
1.9565658779,4.9016839319,4.3609698622,5.0392225116,3.4027938529,-1.3070748816,-1.5214255111,-0.5742934602,0.4291689431,0.4839745069,0.5696992741,0.4193027293,0.0174988749
1.7999470688,1.1598262321,1.728813545,7.3878596272,3.0799409754,-1.2841465064,-0.9092971872,-0.8864972818,0.4129372105,0.8275470332,0.1167840911,0.6712366517,-0.058945641
2.9740602618,4.0072523383,9.6824423502,1.8945924199,3.7061688931,-1.611043669,-0.6463371236,-1.4487881005,0.3251685552,0.2356283078,0.1779194392,0.8937193835,-0.0344925323
1.3056609977,6.8392731138,7.3766363158,1.8437871885,4.4092595459,-1.7706422917,-0.948720371,-1.6898968831,0.9987094173,0.3673260204,0.3114864902,0.3872810756,-0.010396764
4.4697520872,2.9906088871,4.9399841025,4.2063604677,3.9881999405,-0.9220802796,-1.4950991775,-1.5710204834,0.3609474389,0.3320744201,0.1172679136,0.1650474742,-0.0372970763
7.5219776996,7.0320391114,1.0003931182,1.9205420088,4.4807995013,-1.4935934973,-1.6557591124,-1.3314468916,0.7724309698,0.0884127054,0.8698531118,0.4345880202,-0.0414921905
9.4206824464,2.8762156059,9.7648708474,2.7860225364,3.2158715488,-1.2163715416,-1.1164958195,-0.8830041877,0.8263785878,0.1358883434,0.7280377602,0.3994859612,0.0385631823
3.5484497265,7.8551236975,9.3891126408,9.009674102,4.2702958589,-0.6615572111,-1.8933884414,-1.7153502064,0.7535627771,0.3089214383,0.7059978312,0.2317505003,0.031790486
7.2987260114,2.0219997427,2.3502345819,2.5165535905,3.452349327,-0.5841333229,-1.4561829292,-1.4120330748,0.4953199552,0.0859144529,0.1504333859,0.6330459385,-0.0233872413
6.2191724955,8.2877110385,8.9803645035,6.4318739292,3.8769706719,-1.9127216444,-0.7572233739,-1.2070256536,0.0530250794,0.7650768208,0.6291736506,0.8845713436,0.0695904107
3.1713569042,0.7403728159,9.8802783886,1.1489148406,5.4828232634,-1.9842259728,-1.5284243349,-1.9701729557,0.0569417307,0.8082851388,0.9073841481,0.126883962,-0.0330414621
4.3070166893,4.0625811274,6.3528178685,8.2080310851,3.9851582661,-0.9695816364,-1.2442788321,-1.7712977977,0.6855351156,0.5932118871,0.4412999499,0.6520744576,0.0553094805
3.2521048216,9.2553174728,0.5356657233,9.0178715021,3.4610414301,-1.7740543045,-0.6434555972,-1.0435315284,0.4138517402,0.9866104031,0.1747138329,0.4352685589,0.0288166368
