handicapped_infants,water_cost_sharing,budget_resolution_adoption,physician_fee_freeze,el_salvador_aid,religious_groups_in_schools,anti_satelite_test_ban,aid_to_nicaraguean_contras,mx_missile,immigration,synfuels_corporation_cutback,education_spending,superfund_right_to_sue,crime,duty_free_exports,export_administration_act_south_africa,target
1,1,1,0,0,0,1,1,-1,0,1,0,0,0,1,-1,1
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
1,0,1,0,0,0,1,1,-1,0,0,0,0,0,0,-1,1
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1
0,-1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
0,1,0,1,1,1,0,-1,0,0,0,1,1,1,0,1,0
1,1,1,0,0,0,1,1,1,0,0,0,0,0,-1,-1,1
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1,1,1,0,0,1,-1,1,0,0,1,1,0,1,0,-1,1
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,-1,0
1,1,1,0,0,-1,1,1,1,1,0,0,0,0,1,-1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,-1,1
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
1,1,1,0,0,0,1,1,1,0,1,-1,0,0,0,1,1
1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1,-1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,-1,1
1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,-1,1
1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1
0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,-1,1
0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,-1,1
1,0,1,0,0,0,1,1,-1,1,1,1,0,1,0,1,1
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
0,-1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1
0,0,0,1,1,1,0,0,0,1,0,-1,1,1,0,-1,0
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,1,1,0,0,0,1,1,0,1,1,0,0,-1,1,1,1
1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
1,0,1,0,1,1,0,-1,-1,0,1,-1,-1,-1,1,1,1
0,0,-1,0,1,1,0,0,0,0,1,1,1,1,0,1,1
1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1
1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1
0,0,0,1,1,1,0,0,0,1,-1,1,1,1,0,0,0
1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1
1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1
1,0,1,0,1,1,1,0,-1,0,1,0,1,1,1,-1,1
1,0,0,0,1,1,-1,0,-1,0,0,0,0,1,-1,0,1
-1,-1,-1,-1,0,1,1,1,1,1,-1,0,1,1,0,-1,1
1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
1,-1,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
1,-1,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,-1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,-1,1,0,0,1,1,1,0,1,0,0,0,0,1,-1,1
0,-1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1,-1,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
0,-1,1,0,-1,-1,1,1,1,1,-1,-1,0,0,1,1,1
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0
0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
0,-1,-1,1,1,1,0,0,0,1,0,1,1,1,-1,1,0
0,-1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
1,-1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0
0,-1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
0,-1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,-1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
0,-1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
0,-1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1
-1,-1,1,0,0,0,1,1,-1,0,-1,-1,-1,-1,-1,-1,1
1,-1,1,0,-1,-1,1,1,1,0,0,0,0,0,1,-1,1
0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,-1,0
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,-1,0
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0
0,-1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1
1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0
0,0,0,1,1,1,1,1,1,1,0,1,1,1,-1,1,0
0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0
-1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1
0,-1,0,0,0,1,1,1,1,1,0,0,0,1,0,-1,1
0,0,1,0,0,1,1,1,1,1,0,0,0,1,-1,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0
0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
1,1,-1,1,1,1,0,0,1,0,1,-1,1,1,0,0,1
0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1
0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1,1,0,1,1,1,0,-1,0,0,1,1,1,1,0,0,0
1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0
0,1,1,0,0,1,0,1,1,0,1,0,-1,-1,-1,-1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
0,1,1,0,-1,1,1,1,1,1,1,0,0,-1,0,-1,1
0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1
0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1
0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,-1,1
0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,-1,1
1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,-1,1
1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1
1,0,1,0,0,0,-1,1,1,-1,0,0,0,0,1,-1,1
0,-1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,1,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,1
0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1
1,-1,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0
0,0,1,0,0,0,1,1,1,1,1,-1,0,0,1,1,1
-1,0,1,0,0,0,1,1,1,1,1,-1,0,0,1,-1,1
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
-1,-1,1,0,0,0,1,1,1,-1,-1,0,0,0,-1,-1,1
0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,-1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,1,0,0,0,1,1,1,1,0,-1,0,0,1,1,1
0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
1,-1,0,1,1,1,1,1,0,0,0,1,-1,1,-1,-1,0
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
0,-1,0,1,1,1,0,0,0,0,0,1,1,1,0,-1,0
0,1,0,1,1,1,0,-1,0,1,0,1,1,1,0,-1,0
0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
0,0,1,0,0,1,1,-1,1,1,1,0,0,0,1,1,1
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,-1,0
0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,-1,1
0,-1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0
0,0,1,0,0,0,1,1,1,1,1,0,-1,0,1,-1,1
1,1,0,0,0,0,1,1,-1,0,1,0,0,0,1,-1,1
0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0
0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
1,-1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
0,0,1,0,0,0,1,1,1,0,0,-1,0,0,1,1,1
1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1
0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,-1,1
1,1,1,0,1,1,0,0,-1,1,0,0,0,1,1,-1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1,-1,1,0,0,0,1,1,1,0,-1,0,0,0,1,-1,1
0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,-1,1
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,-1,1
0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
0,1,0,1,1,1,0,0,0,1,0,-1,1,1,0,0,0
0,-1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,0,-1,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,-1,0,1,0
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0
0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,-1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,-1,1
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1
1,1,1,0,0,0,1,1,-1,1,0,0,0,0,1,-1,1
0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0
0,0,0,1,0,1,1,-1,1,0,0,1,1,1,0,1,0
1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
0,0,0,0,1,1,1,0,0,0,0,-1,0,1,1,1,0
0,1,1,0,0,0,1,1,-1,1,0,0,1,0,1,1,1
1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
0,0,1,0,1,0,1,1,1,0,0,0,0,1,-1,1,1
0,1,0,1,1,1,-1,0,0,0,0,-1,1,1,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
1,0,1,0,0,0,1,1,-1,0,1,0,0,0,1,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,0,1,-1,1,0
0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
1,0,1,0,0,-1,1,1,1,0,-1,-1,0,-1,-1,-1,1
1,0,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
0,1,1,0,0,1,1,1,1,0,-1,0,0,0,0,1,1
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,-1,1
0,0,0,1,1,0,1,1,0,1,0,1,1,1,-1,1,0
1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0
0,0,1,0,1,1,0,0,0,0,-1,0,1,1,0,0,1
0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0
0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1
1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,-1,0
1,0,0,1,1,1,0,0,0,1,0,-1,1,1,0,0,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,1,1
0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
0,0,1,0,0,1,-1,1,-1,1,1,1,0,1,1,-1,1
1,1,1,-1,0,1,1,1,1,0,1,0,1,0,-1,1,1
1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1
1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,-1,1
1,0,1,0,-1,1,-1,1,1,1,0,0,1,1,0,1,1
1,0,1,0,0,1,1,1,1,1,0,-1,0,1,0,1,1
1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,-1,1
0,1,0,1,1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,0
0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
1,1,1,0,0,1,1,1,1,1,0,0,-1,0,1,-1,1
0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1
0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0
0,0,-1,0,0,1,1,1,1,0,0,0,0,0,1,1,1
0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,-1,0
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,-1,1
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0
0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1
1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0
0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
0,1,1,1,1,1,1,-1,0,0,0,0,-1,-1,1,-1,0
0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1
1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1
1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1
1,1,1,0,-1,1,0,-1,0,0,1,0,1,1,0,-1,1
1,1,1,0,1,1,0,1,-1,1,0,0,1,1,0,-1,1
0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
0,1,0,0,1,1,0,0,-1,0,0,1,1,1,0,1,1
1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
1,-1,1,0,0,1,1,1,1,1,0,0,0,0,1,-1,1
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1,-1,1,0,0,0,1,1,1,0,0,0,0,0,1,-1,1
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,-1,1
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
0,1,1,0,0,1,1,1,-1,0,1,1,0,0,1,1,1
0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,-1,0
0,0,1,0,0,1,1,1,0,0,1,0,0,1,-1,1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1
1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0
0,-1,1,-1,0,1,1,1,1,1,1,0,-1,-1,1,1,1
0,1,1,0,1,-1,1,0,0,1,1,0,1,0,1,1,1
0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,-1,1
0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,-1,1
0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
0,1,1,0,0,1,1,1,1,1,0,-1,0,0,1,1,1
1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,-1,1
0,0,0,1,1,1,0,0,0,1,-1,1,1,1,0,1,0
1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1
1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,-1,1
1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0
0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1
1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,-1,1
1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,-1,1
0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1
0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0
1,1,1,0,-1,1,1,1,0,1,-1,-1,0,0,1,1,1
1,1,1,0,-1,0,1,1,1,1,0,0,0,0,1,-1,1
0,1,1,1,1,1,0,0,0,0,1,1,-1,1,0,0,1
0,1,1,-1,1,1,0,1,0,1,-1,0,1,1,-1,1,1
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1
1,-1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
0,1,0,1,1,1,-1,-1,0,0,-1,-1,1,-1,-1,-1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
1,1,1,0,0,1,-1,1,1,0,1,0,1,0,1,1,1
1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,-1,1
1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,-1,1
1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1
1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1
0,-1,1,0,1,1,0,1,0,0,1,0,0,0,0,-1,1
1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,-1,1
0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,-1,1
1,0,1,0,0,0,1,1,1,-1,1,0,0,0,1,-1,1
-1,-1,0,0,-1,1,-1,0,0,0,1,1,0,1,0,-1,1
1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
